# MGM_Star_index J_Mag e_J_Mag M_dust e_M_dust det
2 14.48 0.009 2.4 0.59 0
3 12.785 0.024 2.4 0.58 1
5 14.722 0.007 2.0 0.49 0
9 11.496 0.024 2.2 0.55 0
10 12.006 0.029 2.4 0.61 0
11 12.445 0.023 25.8 0.61 1
15 12.709 0.023 2.3 0.57 0
16 13.155 0.003 2.3 0.57 0
17 12.427 0.023 63.8 0.53 1
18 11.752 0.024 2.5 0.62 0
20 12.253 0.023 110.4 0.67 1
21 10.84 0.022 2.1 0.53 0
22 14.07 0.006 6.0 0.49 1
26 13.113 0.004 2.2 0.54 0
27 15.18 0.01 2.2 0.56 0
28 12.436 0.027 5.8 0.58 1
30 17.965 0.032 2.4 0.59 0
34 11.889 0.026 2.3 0.58 0
36 14.604 0.013 7.5 0.57 1
38 14.366 0.008 8.2 0.58 1
41 12.362 0.024 2.2 0.55 0
45 13.579 0.004 4.2 0.55 1
46 14.052 0.006 2.4 0.59 0
47 19.486 0.079 15.1 0.67 1
48 13.492 0.005 2.4 0.6 0
49 15.07 0.008 141.4 0.66 1
50 19.808 0.083 2.1 0.52 0
51 16.674 0.019 4.1 0.56 1
52 12.918 0.024 87.0 0.68 1
53 13.527 0.005 5.2 0.51 1
54 12.575 0.024 2.3 0.58 0
55 7.501 0.019 15.6 0.97 1
56 12.2 0.023 23.7 1.62 1
57 14.318 0.006 2.2 0.55 0
58 13.314 0.005 2.7 0.53 1
59 10.361 0.023 69.1 0.65 1
61 13.932 0.005 2.1 0.53 0
62 14.311 0.005 7.2 0.55 1
63 15.767 0.015 2.4 0.6 0
64 14.185 0.005 2.4 0.59 1
65 12.422 0.027 19.6 0.58 1
68 11.815 0.032 2.1 0.53 0
71 12.699 0.027 92.0 0.55 1
72 14.474 0.008 4.5 0.56 1
73 12.928 0.022 11.4 0.48 1
74 15.335 0.015 5.9 0.51 1
78 15.143 0.013 2.2 0.55 0
79 12.583 0.022 5.9 0.51 1
80 11.253 0.023 16.1 0.53 1
81 13.115 0.004 30.8 0.56 1
82 15.349 0.011 2.2 0.55 0
83 12.165 0.036 2.3 0.57 0
84 12.919 0.024 47.4 0.52 1
85 16.472 0.018 6.4 0.61 1
86 17.473 0.024 3.9 0.55 1
87 17.42 0.027 2.2 0.55 0
88 17.165 0.023 2.1 0.51 0
90 12.556 0.024 2.4 0.6 0
92 13.145 0.004 5.0 0.55 1
93 12.821 0.024 4.8 0.59 1
94 13.44 0.005 2.3 0.57 0
95 12.752 0.025 48.1 0.59 1
96 17.244 0.037 17.0 0.56 1
97 14.944 0.007 2.4 0.6 0
98 12.548 0.027 19.1 0.54 1
99 12.574 0.023 2.1 0.54 0
100 12.207 0.024 2.3 0.56 1
101 11.418 0.026 1.9 0.48 0
102 11.429 0.023 79.0 0.63 1
104 14.917 0.009 2.3 0.59 0
105 12.484 0.023 33.7 0.55 1
106 11.721 0.023 2.2 0.55 0
107 13.285 0.004 13.2 0.5 1
108 12.805 0.024 4.8 0.55 1
109 15.069 0.009 2.3 0.58 0
110 13.361 0.004 2.2 0.54 0
111 14.919 0.008 2.1 0.53 0
112 12.597 0.023 4.8 0.54 1
113 14.764 0.007 2.3 0.57 0
114 13.917 0.004 2.3 0.57 0
115 13.348 0.005 25.3 0.48 1
117 14.906 0.008 4.7 0.58 1
118 10.75 0.024 3.0 0.55 1
119 13.186 0.003 2.2 0.54 0
120 10.263 0.023 11.5 0.51 1
121 18.376 0.036 3.5 0.56 1
123 16.894 0.027 3.1 0.57 1
124 12.078 0.023 92.3 0.51 1
126 15.347 0.01 2.1 0.52 0
127 10.287 0.029 3.1 0.5 1
128 14.001 0.008 14.2 0.57 1
129 12.571 0.024 331.8 0.81 1
130 11.639 0.029 2.3 0.58 0
131 14.408 0.009 13.1 0.56 1
132 12.988 0.024 4.0 0.63 1
133 16.455 0.023 2.2 0.56 0
134 12.368 0.024 2.4 0.6 0
135 13.708 0.005 2.1 0.54 0
136 11.212 0.026 2.1 0.53 0
137 13.2 0.003 35.2 0.58 1
139 12.479 0.021 1.9 0.49 0
141 15.492 0.011 2.2 0.54 0
142 11.717 0.023 2.2 0.55 0
145 13.408 0.005 1.9 0.48 0
146 13.557 0.004 2.2 0.55 1
147 11.193 0.022 2.3 0.57 0
148 13.725 0.006 15.9 0.53 1
149 12.988 0.024 4.1 0.53 1
152 15.7 0.011 9.9 0.52 1
154 13.716 0.005 15.5 0.54 1
155 12.981 0.003 2.5 0.63 0
157 14.163 0.006 2.0 0.5 0
160 14.9 0.008 14.5 0.53 1
161 14.708 0.008 2.3 0.54 1
162 13.635 0.004 2.0 0.49 0
164 12.02 0.023 9.5 0.48 1
165 12.063 0.023 2.6 0.47 1
166 15.695 0.015 2.2 0.55 0
167 13.075 0.004 2.0 0.49 0
168 10.83 0.023 6.0 0.5 1
169 14.875 0.008 2.5 0.63 0
172 12.707 0.022 3.0 0.55 1
173 13.983 0.007 17.9 0.54 1
176 13.942 0.004 1.4 0.36 0
179 13.811 0.006 51.2 0.37 1
181 13.986 0.005 1.6 0.4 0
182 11.591 0.021 1.7 0.39 1
184 11.171 0.026 3.2 0.36 1
185 12.157 0.022 101.8 0.38 1
186 14.265 0.005 3.6 0.34 1
187 12.597 0.023 11.5 0.35 1
188 14.221 0.006 1.3 0.34 0
189 15.533 0.015 1.5 0.38 0
190 15.332 0.016 1.3 0.31 0
191 10.986 0.023 10.4 0.35 1
192 13.5 0.004 2.4 0.32 1
195 16.102 0.013 1.6 0.35 1
198 14.992 0.008 1.6 0.34 1
205 14.535 0.009 1.4 0.35 0
206 12.672 0.023 2.4 0.33 1
208 13.579 0.006 4.7 0.31 1
209 13.008 0.004 3.2 0.33 1
210 14.714 0.007 1.3 0.32 0
214 12.296 0.024 1.4 0.35 0
215 17.445 0.028 6.2 0.32 1
216 13.367 0.004 1.7 0.36 1
217 12.698 0.024 2.5 0.34 1
220 10.592 0.023 1.3 0.33 0
223 9.701 0.023 28.9 0.31 1
225 11.093 0.023 4.4 0.36 1
226 11.551 0.023 1.5 0.37 0
228 13.499 0.006 34.4 0.34 1
231 12.98 0.023 6.0 0.33 1
232 10.26 0.021 4.1 0.38 1
234 12.507 0.024 1.6 0.39 0
235 9.673 0.023 1.5 0.37 0
236 13.156 0.004 57.9 0.35 1
237 14.652 0.011 13.1 0.33 1
238 11.028 0.023 1.6 0.32 1
239 15.422 0.012 8.0 0.36 1
240 14.2 0.007 1.4 0.35 0
245 13.892 0.006 1.3 0.33 0
249 13.442 0.004 2.2 0.36 1
250 11.832 0.023 148.2 0.4 1
251 13.923 0.005 1.5 0.37 0
252 14.623 0.014 1.5 0.37 0
253 14.409 0.008 4.1 0.35 1
256 14.204 0.009 16.0 0.34 1
